message_id_default,user id,nickname,comment_text,Total reply number,reply_number,reply_id,reply_uid,reply_nickname,reply_text,reply_up_count,reply_down_count
af5372a3-3e64-4b49-b19a-77a6f78cd8d4,7DAWWFT7NH7GJDIVKVSKZ3A5DE,Stephen,weak degenerate drug trash can't get through life without getting high. the dregs of society who use food stamps,3,2,6343cd07-22e9-4ef8-8ab4-628007ccaf6b,PKO5RGC4NVQIRDJPZZAKFAQBYC,Army of Darkness,@Stephen So obvious you don't get laid either.,0,1
af5372a3-3e64-4b49-b19a-77a6f78cd8d4,7DAWWFT7NH7GJDIVKVSKZ3A5DE,Stephen,weak degenerate drug trash can't get through life without getting high. the dregs of society who use food stamps,3,3,f5ceb1d5-ebe9-48f1-89b2-f39304ca766d,PNRV7WMAME2VW2HO7QM5CR3KZU,Enrico Palazzo,Can't agree more,2,2
d02e7c98-23be-4603-adce-b3365fec5df4,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!! Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,1,cd1dd95f-04f8-4d07-8a8f-e6bc9240c17c,6WVCF2MRMCGZEA4CCC4JAFYLLV,R,Ignorance is bliss. I don’t smoke pot and seldom drink and I don’t see legalization of marijuana causing more accident. People have been using it “illegally” forever,2,0
d02e7c98-23be-4603-adce-b3365fec5df4,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!! Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,2,740ea559-652c-4423-84bb-6a68ae3c1b89,2L6W2SSR5VO2ZDS6EMMZXN3DPQ,LlllllBbbbbb,"@Fullmetal: I used to do that all the time, but I lived in Manhattan and parked in a different spot on a different street every day! I knew it wasn't the pot!",1,0
d02e7c98-23be-4603-adce-b3365fec5df4,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!! Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,3,cec84e35-30ff-4d0e-98f2-6300f911bbbc,QQFA5N26F4BLGUVKSKB3BQ57HI,dtboco,"Sorry to crush your delusions, but no matter where you live you are on the road with people who are stoned every single day. It's such a huge issue you didn't even realize it...Your comment proves the point you are trying to make incorrect. Now that's funny.",6,0
d02e7c98-23be-4603-adce-b3365fec5df4,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!! Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,4,66d69f3c-ce0e-436c-ae31-0d521d82a817,F5P4KAD2XZADF3YYEQJ2FACFAA,NIX,"And when I'm feeling low, She comes as no surprise. Turns me on with her love. Takes me to paradise, do you love me Mary Jane? Yeah, whoa-oh-oh. Do ya? Do ya? Do ya? Do ya? Do ya? Do ya? Now do you think you love me Mary Jane.",4,1
d02e7c98-23be-4603-adce-b3365fec5df4,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!! Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,5,06a9e881-64e6-4833-a810-57b86c4ad1c0,4CAM4UEDQDWESZMJQAAHOYOMGU,Rudy,"You mean, like there have been already for decades now? A weed-hating ""MaryJane"", what an ironic lot in life.",12,2
d02e7c98-23be-4603-adce-b3365fec5df4,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!! Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,6,687126e5-7419-4020-80d1-1e1dd1aa833f,WOZLCRQOPDVGW6J7XEG3D76RMA,Steve,I was totally waiting for pot to be legal before I smoked and drive,13,0
d02e7c98-23be-4603-adce-b3365fec5df4,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!! Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,7,9c6febcd-ff82-447e-83bb-016d1f9a1aa7,UJKKEDEY666C6K4PZEB2FHJ2WA,Fullmetal,"Yeah, but they forget where they left their car so we're safe.",6,0
d02e7c98-23be-4603-adce-b3365fec5df4,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!! Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,8,851f2e2b-e73f-4335-b041-fe57dd8dd43f,YUOJEBAOXPYIIIFU32RYBT2BYA,DM,"They've always been there, in the same numbers that they will be in the future, you're confused into thinking there's people who want to use pot, but are waiting for it to be legal.",18,1
cbd11fda-3385-456b-8776-4ec0cddec4bf,6XAO6QYL7EKRECWKTQIRLHQMMQ,hello,How disgusting. more weed more more drug addicts.,1,1,ede72860-762c-405a-913c-a7d1225136c8,BADDTL3CDKCCXRPIXFBUGBMN5G,Madt,Next we need to close all coffee shops down.,0,0
ea670ad8-8d0d-4614-8c04-50e2ce4239c6,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,"Treat it like alcohol. You can't drive, can't do it in the park or walking down the street or in front of people. Be respectful and there's no problem.",7,1,150ea271-f83e-46bd-89ea-cf28d778369c,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,There are billboards in ca that say pot will be treated as alcohol. You can't drive while high. It's a dui.,0,0
ea670ad8-8d0d-4614-8c04-50e2ce4239c6,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,"Treat it like alcohol. You can't drive, can't do it in the park or walking down the street or in front of people. Be respectful and there's no problem.",7,2,e16322c1-50d9-4e62-bbcc-3bd252f9d558,6OT3LND3VL6DUIWLPBJ24IZRCQ,BenjaminF,"Why treat it like alcohol? Just to be fair to the alcoholics? When it comes to driving and motor skills in general, alcohol is so much worse.",0,2
ea670ad8-8d0d-4614-8c04-50e2ce4239c6,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,"Treat it like alcohol. You can't drive, can't do it in the park or walking down the street or in front of people. Be respectful and there's no problem.",7,3,2369a473-ac64-4ea5-afd0-228b94ef8a11,LH7G7IVFLG7MFXAHN44NIFSCKQ,StarLord,No .. Smoking should be illegal ... eating is fine,1,4
ea670ad8-8d0d-4614-8c04-50e2ce4239c6,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,"Treat it like alcohol. You can't drive, can't do it in the park or walking down the street or in front of people. Be respectful and there's no problem.",7,4,b2cf1a34-25d0-4ee6-93c0-ae52983051a0,P7S7U445QOKWHG67HZEMLEH5HM,John Starace,@Hebrew I think even a little bit of slow down in your reaction time is dangerous. Maybe not as bad as alcohol but still will increase your odds of being in an accident.,1,0
ea670ad8-8d0d-4614-8c04-50e2ce4239c6,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,"Treat it like alcohol. You can't drive, can't do it in the park or walking down the street or in front of people. Be respectful and there's no problem.",7,5,83e10f21-d32b-4ed0-bbcc-731ead1554d6,5PWHRBS5HALZRENG6PV3X52MDQ,Grega,It stinks far more than cigarette smoke and it can cause allergic reactions in people that are allergic to grass.,4,2
ea670ad8-8d0d-4614-8c04-50e2ce4239c6,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,"Treat it like alcohol. You can't drive, can't do it in the park or walking down the street or in front of people. Be respectful and there's no problem.",7,6,c3d871c2-3faa-46cd-9ae6-89e599ac12bc,VJEIWRHGN73UXL7S5V5AQPBRSA,Hebrew,@Karl it doesn’t work that way. Maybe the high driver just finds herself slowing down a bit. It’s not like drunk driving.,4,3
ea670ad8-8d0d-4614-8c04-50e2ce4239c6,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,"Treat it like alcohol. You can't drive, can't do it in the park or walking down the street or in front of people. Be respectful and there's no problem.",7,7,a3e67245-4913-4ada-b100-ce785aba0c55,CN6UD6CERN3V4QXR7C6CKNPQ74,Karl,How do they tell if a driver is currently high,2,2
138099a1-f6aa-468b-9239-6ab6edc26c89,7LERFJTUCCVVPT25HZDLH7V7MA,Tim_D,I have no problem with MEDICAL ....The Other I do . You Still Have To Pass A Drug And Alcohol Test To Work . And It makes A lot people Not Have A Job .,3,1,c39a23af-8c6c-4086-a918-02c6d1b39f01,2L6W2SSR5VO2ZDS6EMMZXN3DPQ,LlllllBbbbbb,I have never had to take a drug test for a job! EVER!!! And I have a BS in Accounting and passed the CPA exam. Love my weed!,1,1
138099a1-f6aa-468b-9239-6ab6edc26c89,7LERFJTUCCVVPT25HZDLH7V7MA,Tim_D,I have no problem with MEDICAL ....The Other I do . You Still Have To Pass A Drug And Alcohol Test To Work . And It makes A lot people Not Have A Job .,3,2,0d8bb7fa-4240-4039-b831-7b82ea0a6170,XY2ZTAOLVIBWH75WEYES5RAQ3A,Rosalind,dtboco wants everyone (even children) to work in head shops peddling dope.,4,2
138099a1-f6aa-468b-9239-6ab6edc26c89,7LERFJTUCCVVPT25HZDLH7V7MA,Tim_D,I have no problem with MEDICAL ....The Other I do . You Still Have To Pass A Drug And Alcohol Test To Work . And It makes A lot people Not Have A Job .,3,3,9cd635a9-6126-4ce5-9328-8aff0a1d2a88,QQFA5N26F4BLGUVKSKB3BQ57HI,dtboco,Or those people can get jobs in the legal marijuana industry...,2,2
43620232-0c6e-483f-a379-55a3bba55030,5KH74T5YGSTE6RBPUF56C3SDUE,Tennaj,I wish we would make healthcare and mental healthcare legally free for those in need and not weed !!,2,1,7d2cfdcb-bf9d-4639-af7b-45693d717169,6WVCF2MRMCGZEA4CCC4JAFYLLV,R,"It is free in some counties in Michigan, especially the mental healthcare. Go to Michigan.gov",0,0
43620232-0c6e-483f-a379-55a3bba55030,5KH74T5YGSTE6RBPUF56C3SDUE,Tennaj,I wish we would make healthcare and mental healthcare legally free for those in need and not weed !!,2,2,a345f5fd-7ff4-4724-a755-62da9883242f,2L6W2SSR5VO2ZDS6EMMZXN3DPQ,LlllllBbbbbb,I pay for my weed and I pay my insurance premiums and I pay for my healthcare. I'll self medicate for the mental healthcare.,3,0
1a1b3bf7-4d1e-46da-a3d5-8a59d156f183,PVNMNW772S2Z7TZGL4FUKYVC54,LaughandASmile,"So, where are the laws for when people do everyday work activities (i.e. driving, flying a plane, getting your teeth worked on, surgery, buying and trading stocks, watching kids in daycare, etc) are done by stoned individuals who end up killing people? None yet? That cannot be good for society.",2,1,036c93a5-7091-4e0a-9f6a-571209c0479c,PVNMNW772S2Z7TZGL4FUKYVC54,LaughandASmile,@DOG DAYS There’s NO LAW stating that whatsoever. Welcome to the new field of law: marijuana law.,1,0
1a1b3bf7-4d1e-46da-a3d5-8a59d156f183,PVNMNW772S2Z7TZGL4FUKYVC54,LaughandASmile,"So, where are the laws for when people do everyday work activities (i.e. driving, flying a plane, getting your teeth worked on, surgery, buying and trading stocks, watching kids in daycare, etc) are done by stoned individuals who end up killing people? None yet? That cannot be good for society.",2,2,838c779a-491e-44d8-a00a-1c99e7b0e027,YMCHQ32AJCLEWMVZF2ROI6KTXU,DOG DAYS,Same laws apply to pot as alcohol. Simple.,0,1
1d50c666-3902-4a01-8382-9ec1ca8ed98e,VQANCXFUBF55OTXGQBF4WEUMAU,Thinkforyourself,"It is all about accountability. For the ""truly"" sick, I am not opposed to it. But NO ONE watches these sales, NO ONE hold these sellers accountable, and because of this, it spreads to become recreational use also. I watched my neighbors son, who was a great athlete in high school, a very good student, and an outgoing, friendly young man, to getting involved with the wrong people and becoming hooked on weed. He lost his job, lost his interest in life, gained 75 lbs and became a recluse. His relationship with his family suffered greatly and was on a terrible downward spiral. The family had a young Minister come to talk to him, and that was his start for recovery. I am happy to say the young man is about 80% recovered and is doing better each year. He is now 34 and has wasted over 10 years because of weed, pot, marijuana . Don't anyone tell me that pot, weed, marijuana does not destroy lives.",3,1,00288eba-9228-4ff1-b4b1-1b737e02a444,2L6W2SSR5VO2ZDS6EMMZXN3DPQ,LlllllBbbbbb,"I'm 58. Bachelor of Science in Accounting and passed the CPA exam. I have been smoking since I was 14. I never had to take a drug test for ANY of my jobs since I was in HS. You have no idea what you are talking about. That young man was doing something besides pot and he was lying to his parents...and that minister. 80% recovered - what exactly is 80% recovered from ""weed, pot, marijuana""?",1,1
1d50c666-3902-4a01-8382-9ec1ca8ed98e,VQANCXFUBF55OTXGQBF4WEUMAU,Thinkforyourself,"It is all about accountability. For the ""truly"" sick, I am not opposed to it. But NO ONE watches these sales, NO ONE hold these sellers accountable, and because of this, it spreads to become recreational use also. I watched my neighbors son, who was a great athlete in high school, a very good student, and an outgoing, friendly young man, to getting involved with the wrong people and becoming hooked on weed. He lost his job, lost his interest in life, gained 75 lbs and became a recluse. His relationship with his family suffered greatly and was on a terrible downward spiral. The family had a young Minister come to talk to him, and that was his start for recovery. I am happy to say the young man is about 80% recovered and is doing better each year. He is now 34 and has wasted over 10 years because of weed, pot, marijuana . Don't anyone tell me that pot, weed, marijuana does not destroy lives.",3,2,cad75f54-df64-4010-8a32-2c5b5218dc94,QQFA5N26F4BLGUVKSKB3BQ57HI,dtboco,"The sky is falling! The sky is falling! Sucks your neighbors son was a loser, but that has nothing to do with marijuana. Of course I'm kidding because you completely made that up in order to try to push your Christian ideology on people. Have seen other people try variations of the same story. At least come up with an original lie.",2,1
1d50c666-3902-4a01-8382-9ec1ca8ed98e,VQANCXFUBF55OTXGQBF4WEUMAU,Thinkforyourself,"It is all about accountability. For the ""truly"" sick, I am not opposed to it. But NO ONE watches these sales, NO ONE hold these sellers accountable, and because of this, it spreads to become recreational use also. I watched my neighbors son, who was a great athlete in high school, a very good student, and an outgoing, friendly young man, to getting involved with the wrong people and becoming hooked on weed. He lost his job, lost his interest in life, gained 75 lbs and became a recluse. His relationship with his family suffered greatly and was on a terrible downward spiral. The family had a young Minister come to talk to him, and that was his start for recovery. I am happy to say the young man is about 80% recovered and is doing better each year. He is now 34 and has wasted over 10 years because of weed, pot, marijuana . Don't anyone tell me that pot, weed, marijuana does not destroy lives.",3,3,40a33161-51ac-49f2-85f8-73a2b3d8aa52,BECXM7VPUMMS46ZBDC6LHOZENE,§•Må†Ic∆,"Hahahahahaha, what a bunch of nonsense.",3,2
e512157a-20f6-4c8f-bd40-ab0184f7b177,Z3MVI4L2NMWNQBAHOGH4KYRIZI,Michael,"The Michigan-Ontario boarder crossing will look like Michigan (legal), Ontario/Canada (legal), U.S. Customs (Illegal). I can see unknowing people who cross getting in legal troubles with that setup.",1,1,c8773b0d-6b45-45ee-b540-cdef5edfc6e7,QQFA5N26F4BLGUVKSKB3BQ57HI,dtboco,Why would people attempt to cross an international border with marijuana if it's legal in both places? That makes zero sense whatsoever. If anyone is that dumb it's on them.,1,0
a9fd0ca1-c54b-4eb1-88a0-d8de2ac64820,7TPFWH2DI7CXACQJEKGV6IGGBE,DONALD,"Start keeping track of the people killed on your highways by under the influence drivers. Many deaths on California's hwy. are stacking up due to legalizing pot. The greedy tax-and-spend politicians don't care about the deaths all they can see is the permit, licencing, fees and taxes they can get their hands on to create more government jobs",1,1,a8948c4c-8866-4f24-a188-1c85a554fb1f,JB3RJCK5AC5YLGKT2YM2QE73BM,Kao,"Pure nonsense. A study released yesterday shows that cannabis law reform has made zero difference, when legal states are compared to prohibition states of the same size and urban density.",1,0
e41f855a-88e2-46f5-a52d-7581c4ad3b58,BMM7KZL3KFQSSMD2Z6YETJNPFY,Craig,"The 40-year war on drugs has created a generational criminal subclass of Americans (18 million) that are essentially barred from reintegrating into ""civilized"" society thanks to their criminal record and the problem is only getting worse. The ""land of the free"" currently keeps more of its citizens in jail (2.3 million) than ANY other country in the world. That's a 500% increase since the start of the drug war. The war on drugs is a cancer in our society and marijuana laws will soon be seen in the same shameful light we see the alcohol prohibition era. Both of which were facilitated by the same type of sanctimonious Christians who took over the GOP back in the Reagan era and are still hard at work trying to legislate their christian revision of sharia law on all Americans.",2,1,6427fae4-0472-4400-9161-597794c64342,QQFA5N26F4BLGUVKSKB3BQ57HI,dtboco,@Just Me Everyone knows that the Feds aren't going to change scheduling based on a petition. Are you seriously that naive as to how much money is spent lobbying against legalization? It's comical you think that people not wasting their time on some petition that was never going to even be discussed by the Feds. means anything.,0,0
e41f855a-88e2-46f5-a52d-7581c4ad3b58,BMM7KZL3KFQSSMD2Z6YETJNPFY,Craig,"The 40-year war on drugs has created a generational criminal subclass of Americans (18 million) that are essentially barred from reintegrating into ""civilized"" society thanks to their criminal record and the problem is only getting worse. The ""land of the free"" currently keeps more of its citizens in jail (2.3 million) than ANY other country in the world. That's a 500% increase since the start of the drug war. The war on drugs is a cancer in our society and marijuana laws will soon be seen in the same shameful light we see the alcohol prohibition era. Both of which were facilitated by the same type of sanctimonious Christians who took over the GOP back in the Reagan era and are still hard at work trying to legislate their christian revision of sharia law on all Americans.",2,2,f3c7fe18-c51a-4a58-a179-b04eacfbe603,G4MDEWF3QNHZOIVSBEZA65IMEM,Just Me,"40 years? Try 118 years with the first federal marijuana tax act passed in 1928. You're lucky you get jail time here in the US. Many eastern hemisphere countries have death (or life) sentences for possession. June 2016 there was a petition to reschedule marijuana presented to the DEA (and parent DOJ) on regulations.gov with an open comment period as per the Rule making process. You and others had your chance to voice your support and missed the boat on that one. The Proposed Rule was closed August 16th 2016 and there were ZERO Comments in support of the petition or Proposed Rule to reschedule marijuana. If a new Proposed Rule is submitted on the subject, I wouldn't copy and paste what you posted here in support of the Rule. They may use it as a perfect example of why marijuana should NOT be rescheduled.",0,2
5dc4a64c-a37e-4734-99ae-6588c81b988d,6EPTNIZ4BRSJPFRGQ3WN45AG7M,TAY,"So the Mormons can't drink coffee or coca cola, as they are ""stimulants"", but it is o.k. to smoke weed? I admit, weed does not seem to be a stimulant. Just the opposite really. Finally, some common sense.",1,1,e8a18e11-d9d6-461c-baee-92d6276f8aa6,QQFA5N26F4BLGUVKSKB3BQ57HI,dtboco,The Mormons were against this passing. They apparently don't have the power they used to have in Utah,0,0
